場所,緯度,経度,ペットボトル,缶,ビン,パッケージ,タバコの吸い殻,ティッシュ,学校用品,トラック用品
集合場所,36.051513,140.128497
茗溪学園入口付近,36.049222,140.131197,t,f,f,f,f,f,f,f
Cineplex Tsukuba 店付近,36.049607,140.132823,f,f,f,t,f,f,f,f
Starbucks つくば店,36.048205,140.128991,f,f,f,t,t,f,f,f
快活CLUB つくば稲荷店前,36.048348,140.129313,f,f,f,f,t,f,f,f
真宗高田派 専修寺関東別院・つくば分院付近,,,36.046788,140.126425,f,f,f,t,f,f,f,f
POLA crew peace 店付近,36.048680,140.128860,f,f,f,f,t,f,f,f
赤塚公園 自動販売機付近,36.050280,140.130293,t,f,f,t,t,f,f,f
赤塚公園 中央通り東側出入口付近,36.052094,140.130671,t,f,f,t,t,t,f,f
赤塚公園 茗溪学園側出入口付近,36.052094,140.128704,t,f,t,f,t,f,f,f
茗溪学園内,36.051758,140.127623,f,t,t,t,f,f,t,f
ファミリーマートつくば赤塚 共同出張所,36.045939,140.123942,f,f,f,t,t,f,f,t
